,zonas,enderecos,precos,areas,quartos
156,sul,"Avenida Chibarás, Moema, São Paulo Zona Sul, São Paulo",3500,87,3.0
157,sul,"Alameda Casa Branca, Jardim Paulista, São Paulo Zona Sul, São Paulo",8000,225,3.0
158,sul,"Rua Antônio Gil, Vila Inglesa, São Paulo Zona Sul, São Paulo",1237,60,
159,sul,"Rua Luís Góis, Mirandópolis, São Paulo Zona Sul, São Paulo",1979,57,2.0
160,sul,"Rua Princesa Isabel, Brooklin Paulista, São Paulo Zona Sul, São Paulo",1600,37,
161,sul,"Rua Alexandre Benois, Vila Andrade, São Paulo Zona Sul, São Paulo",3300,255,4.0
162,sul,"Rua José Antônio Coelho 300, Vila Mariana, São Paulo Zona Sul, São Paulo",2250,64,
163,sul,"Rua Edson, Campo Belo, São Paulo Zona Sul, São Paulo",4000,210,4.0
164,sul,"Rua João Ferreira De Abreu, Vila Arriete, São Paulo Zona Sul, São Paulo",1400,50,2.0
165,sul,"Avenida Dória, Vila Alexandria, São Paulo Zona Sul, São Paulo",2400,65,
166,sul,"Rua Doutor Ivo Define Frasca, Vila Olímpia, São Paulo Zona Sul, São Paulo",3200,30,
167,sul,"Avenida Jurema, Indianópolis, São Paulo Zona Sul, São Paulo",15000,220,4.0
168,sul,"Rua Iguatemi, Itaim Bibi, São Paulo Zona Sul, São Paulo",7467,107,3.0
169,sul,"Rua Iaiá, Itaim Bibi, São Paulo Zona Sul, São Paulo",3120,53,2.0
170,sul,"Rua Luís Góis, Mirandópolis, São Paulo Zona Sul, São Paulo",1200,25,
171,sul,"Avenida Nazaré, Ipiranga, São Paulo Zona Sul, São Paulo",3600,39,
172,sul,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",2238,55,
173,sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",3628,104,3.0
174,sul,"Avenida Lacerda Franco, Cambuci, São Paulo Zona Sul, São Paulo",1620,86,2.0
175,sul,"Rua Viaza, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",2650,43,
176,sul,"Rua Orlando Murgel, Parque Jabaquara, São Paulo Zona Sul, São Paulo",2780,140,3.0
177,sul,"Rua Tutóia, Vila Mariana, São Paulo Zona Sul, São Paulo",2750,94,2.0
178,sul,"Rua Teixeira Da Silva, Paraíso, São Paulo Zona Sul, São Paulo",3000,130,3.0
179,sul,"Rua Sebastião Andrade Bonani, Jardim Prudência, São Paulo Zona Sul, São Paulo",1400,40,
180,sul,"Rua João De Sousa Dias, Campo Belo, São Paulo Zona Sul, São Paulo",3300,70,2.0
181,sul,"Rua Agostinho Gomes, Ipiranga, São Paulo Zona Sul, São Paulo",2100,44,
182,sul,"Rua Baltazar Lisboa, Vila Mariana, São Paulo Zona Sul, São Paulo",2500,63,2.0
183,sul,"Rua Guaratuba, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1780,49,
184,sul,"Avenida Damasceno Vieira, Vila Mascote, São Paulo Zona Sul, São Paulo",1800,70,2.0
185,sul,"Rua Pássaros E Flores, Jardim Das Acácias, São Paulo Zona Sul, São Paulo",4000,72,2.0
186,sul,"Alameda Lorena, Vila Clementino, São Paulo Zona Sul, São Paulo",3440,55,2.0
187,sul,"Rua São José, Santo Amaro, São Paulo Zona Sul, São Paulo",2900,49,
188,sul,"Rua Caconde, Jardim Paulista, São Paulo Zona Sul, São Paulo",3900,65,2.0
189,sul,"Rua Fernandes Moreira, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",4590,100,4.0
190,sul,"Rua Barão Triunfo, Brooklin Paulista, São Paulo Zona Sul, São Paulo",2800,50,
191,sul,"Rua Santa Justina, Vila Olímpia, São Paulo Zona Sul, São Paulo",1734,28,
192,sul,"Rua Coronel Luís Barroso, Santo Amaro, São Paulo Zona Sul, São Paulo",2530,45,
193,sul,"Rua Camilo Carrera, Vila Campestre, São Paulo Zona Sul, São Paulo",3000,110,4.0
